		
item	legality	note
salt	legal	"Ordinary  iodized table salt, altho it sometimes has dextrose, is legal because it is important to get  that iodine."
sashimi	legal	"plain, w/o rice etc."
sauerkraut	legal	only for advanced SCDers
scotch	legal	occasionally
seaweed	illegal	
seed butters	legal	in very limited amounts - see web
seeds	illegal/legal	only 3 months after last symptom has disappeared
seeds	legal	okay after 3 months of no symptoms
sesame oil	legal	
sesame seeds	legal	okay after 3 months of no symptoms
sharifa	legal	"aka: custard apple, cherimoya"
shellfish	legal	Fresh and frozen. Check the labels carefully for additives.
sherry	illegal	
"sherry, cordials, liqueurs or brandy"	illegal	
silica	legal	
silica silicon dioxide	legal 	found in supplements
silicon dioxide aka: silica silicon dioxide	legal	
"silvia seed a.k.a., silvia hispanica, chia seeds"	illegal	mucilaginous
slippery elm	illegal	mucilaginous
smoked meats	illegal/legal	unless you are certain of ingredients - i.e. you know the smoker or make your own.
sodium benzoate	legal	supplement ingredient
sodium starch glycinate	illegal	
sorbitol	illegal	"sorbitol, mannitol and xylitol are all sugar alcohols"
"sour cream, commercial"	illegal	
soy	illegal	
soy lecithin	illegal	
soy sauce	illegal	aka: tamari
soybean milk	illegal	
soybean milk	illegal	
soybean oil	illegal	website trumps book
soybeans	illegal	
sparkling water a.k.a. seltzer water	legal	ingredients: only carbonated water
spelt	illegal	
spice mixes	illegal	most contain starches
spice mixtures	illegal	"apple pie, curry, etc"
spinach	legal	
spirulina	illegal	
Splenda	illegal	
split peas	legal	see prep guidelines in book
sports drinks	illegal	
sprouted grain bread	illegal	"Ezekiel bread, for instance"
squash	legal	summer and winter
starches of any kind	illegal	
stevia	illegal	
stilton cheese	legal	occasionally - not shredded / grated
string beans	legal	aka: green bean
Sucralose	illegal	
sugar	illegal	"aka: table sugar, white sugar, refined sugar, evaporated cane juice."
sulphates	legal	used on fruits to prevent discoloring
sunflower oil	legal	
swede - aka: rutabaga	legal	"very fibrous, go easy"
sweet potato - aka: yam	illegal	
swiss cheese	legal	freely - not shredded / grated
Tabasco sauce	legal	"Only the original red Tabasco sauce, labeled 'McIlhenny Company Tabasco Brand Pepper Sauce' is legal but check the label."
Tagatose	illegal	 
tahini - aka: sesame seed butter	legal	okay after 3 months of no symptoms
tamari	illegal	aka: soy sauce
tamarind	illegal	
tangerines	legal	
tapioca	illegal	
tapioca flour	illegal	found in supplements
tapioca starch	illegal	
taro	illegal	
tarragon	legal	
"tea, green"	legal	limited to 2 cups / day
"tea, instant"	illegal	
"tea, peppermint"	legal	read label
